Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_19,19,5,0,0,0,0,0,4,138,142,1.883,19,488.470,120.305,0,1.928,3.084,0.753,2.585,1.089,0.077,0.167,0.001,0.074,0.054
Track_20,20,8,1,1,0,0,0,8,171,179,1.036,20,133.091,216.339,0,1.245,3.230,0.491,0.905,0.981,2.116,2.245,2.053,2.103,0.058
Track_21,21,2,0,0,0,0,0,1,189,190,0.256,21,134.836,215.657,0,0.256,0.256,0.256,0.256,NaN,2.051,2.091,2.010,2.091,0.040
Track_22,22,2,0,0,0,0,0,1,200,201,0.982,22,134.126,214.475,0,0.982,0.982,0.982,0.982,NaN,2.021,2.047,1.995,2.047,0.026
Track_23,23,2,0,0,0,0,0,1,206,207,0.637,23,131.971,212.683,0,0.637,0.637,0.637,0.637,NaN,2.096,2.143,2.049,2.143,0.047
Track_24,24,2,0,0,0,0,0,1,206,207,1.098,24,132.805,214.487,0,1.098,1.098,1.098,1.098,NaN,2.095,2.143,2.048,2.143,0.048
Track_25,25,3,0,0,0,0,0,2,249,251,1.457,25,136.786,220.589,0,1.883,2.334,1.432,2.334,0.638,1.957,2.021,1.879,1.970,0.059
Track_26,26,6,0,0,0,0,0,5,256,261,1.000,26,250.000,0.000,0,0.600,1.000,0.000,1.000,0.548,0.104,0.152,0.036,0.122,0.038
Track_27,27,18,2,1,0,0,0,19,259,278,0.888,27,136.525,219.175,0,0.808,1.845,0.208,0.614,0.520,2.001,2.094,1.885,1.998,0.053
Track_28,28,2,0,0,0,0,0,1,286,287,1.000,28,249.500,0.000,0,1.000,1.000,1.000,1.000,NaN,0.114,0.122,0.105,0.122,0.008
Track_29,29,2,0,0,0,0,0,1,322,323,2.971,29,133.664,215.987,0,2.971,2.971,2.971,2.971,NaN,2.125,2.143,2.106,2.143,0.018
Track_30,30,17,2,1,0,0,0,18,324,342,3.000,30,248.824,0.000,0,0.250,1.000,0.000,0.000,0.447,0.110,0.180,0.018,0.137,0.046
